"NAME","NATIONALITY"
"francesco pesellino","List_of_Italians"
"piero della francesca","List_of_Italians"
"piero di cosimo","List_of_Italians"
"pietro perugino","List_of_Italians"
"pinturicchio","List_of_Italians"
"pisanello","List_of_Italians"
"polidoro da caravaggio","List_of_Italians"
"antonio del pollaiolo","List_of_Italians"
"pontormo","List_of_Italians"
"il pordenone","List_of_Italians"
"francesco primaticcio","List_of_Italians"
"francesco raibolini","List_of_Italians"
"raphael","List_of_Italians"
"giulio romano","List_of_Italians"
"cosimo rosselli","List_of_Italians"
"andrea schiavone","List_of_Italians"
"sebastiano del piombo","List_of_Italians"
"luca signorelli","List_of_Italians"
"il sodoma","List_of_Italians"
"francesco squarcione","List_of_Italians"
"taddeo di bartolo","List_of_Italians"
"antonio tempesta","List_of_Italians"
"pellegrino tibaldi","List_of_Italians"
"tintoretto","List_of_Italians"
"titian","List_of_Italians"
"cosimo tura","List_of_Italians"
"paolo uccello","List_of_Italians"
"bartolomeo veneto","List_of_Italians"
"domenico veneziano","List_of_Italians"
"paolo veronese","List_of_Italians"
"alvise vivarini","List_of_Italians"
"bartolomeo vivarini","List_of_Italians"
"jacopo zabolino","List_of_Italians"
"federico zuccari","List_of_Italians"
"taddeo zuccari","List_of_Italians"
"francesco albani","List_of_Italians"
"giacomo alberelli","List_of_Italians"
"cristofano allori","List_of_Italians"
"jacopo amigoni","List_of_Italians"
"leonardo dell'arca","List_of_Italians"
"marcello bacciarelli","List_of_Italians"
"sisto badalocchio","List_of_Italians"
"pompeo batoni","List_of_Italians"
